OBJECTID,Shape,NIB,IdBidang,ls_asal,status_per,kelompok_perubahan,PREDICTED,KECAMATAN,KELURAHAN,TIPEHAK,NIB_1,lb_dpn,letak,s_letak,zonasi,s_zonasi,kls_jln,s_kls_jln,IdBidang_1,ls_tnh,elvasi,s_elvasi,lb_jln,jk_atrs,jk_kolp,jk_kols,CBD,jk_atrp,Shape_Le_1,Shape_Le_2,PREDICTED_1,Shape_Le_3,Shape_Length,Shape_Area,bentuk,s_bentuk
21,"(96317.13727112616, 756202.4100733023)",794,21,56.532201968292114,tetap,,1375772.92532,Pekalipan,Pulasaren,Hak Milik,00794,9.85013098907,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7308,56.532201968292114,Sama,2.0,1.835479,1412.83286296,1575.64309108,2006.36272119,357.718349258,2253.16165109,35.8796366519,35.8796366519,1375772.92532,30.9125792944,30.912579294446708,56.532201968292114,,
22,"(96761.1930689365, 756370.7216186475)",432,22,170.09790969196862,tetap,,1494217.14525,Pekalipan,Pulasaren,Hak Milik,00432,11.3582086425,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7342,170.09790969196862,Sama,2.0,1.835478594,1808.05395261,1619.8125327,2034.00992686,509.132881567,1769.53091144,52.8081741081,52.8081741124,1494217.14525,53.7485245373,53.74852453725666,170.09790969196862,,
23,"(96485.70468419022, 755870.2586297604)",490,23,99.49081468192816,tetap,,1366509.51569,Pekalipan,Pulasaren,Hak Milik,00490,9.91736120479,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7341,99.49081468192816,Sama,2.0,1.835478594,1513.00173211,1777.76686588,2019.05138192,595.56696953,1725.02963012,42.4149445107,42.4149445117,1366509.51569,39.9773997115,39.97739971148275,99.49081468192816,,
24,"(96343.44798039261, 756209.956152132)",915,24,63.05856666888579,tetap,,2383747.18827,Pekalipan,Pulasaren,Hak Milik,00915,6.15624725587,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7562,63.05856666888579,Sama,2.0,1.835479,1362.6724992,1628.94999881,2059.66962892,359.629192503,2255.0724889,34.5834224211,34.583422421,2383747.18827,34.1692531631,34.169253163126534,63.05856666888579,,
25,"(96377.1077123874, 756332.5613854121)",123,25,170.58263701421754,tetap,,8748848.02017,Pekalipan,Pulasaren,Hak Milik,00123,3.5962962333,Hook,4.0,Perdagangan dan Jasa Kelas 1,7.0,Lokal Primer,1.0,6935,170.58263701421754,Sama,2.0,3.78,1217.84590135,1564.76438511,1995.48401522,363.805886337,2298.52958123,51.9714752246,51.971475224,8748848.02017,74.1545445185,74.15454451853216,170.58263701421754,,
26,"(96485.6407169864, 755829.1631337866)",443,26,188.5983983117726,tetap,,1363137.07603,Pekalipan,Pulasaren,Hak Milik,00443,10.2270517996,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6838,188.5983983117726,Sama,2.0,1.835478594,1477.02683605,1741.79317718,1983.07769321,559.593280819,1689.05473406,51.2973969031,51.2973969022,1363137.07603,54.8809100382,54.88091003819692,188.5983983117726,,
27,"(96819.70435163967, 756229.3601826163)",0,27,0.0,tetap,0,0.0,Pekalipan,Pulasaren,Hak Milik, ,3.62478236691,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7108,32.097720718194466,Sama,2.0,1.835479,932.392289963,2182.96481932,2613.68444942,470.349172535,2242.49655214,28.7601055098,28.7601055117,1347706.81423,27.1931583813,27.193158381348155,32.097720718194466,,
28,"(96747.92383766465, 756324.3712112731)",328,28,48.03453396460072,tetap,,1423736.96883,Pekalipan,Pulasaren,Hak Milik,00328,10.4746012943,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7117,48.03453396460072,Sama,2.0,1.85,974.031524759,2029.51353465,2460.23316475,476.825032086,2268.78279642,33.482307762,33.4823077645,1423736.96883,32.4910927102,32.49109271022709,48.03453396460072,,
29,"(96809.17885361444, 756236.2009984965)",1827,29,11.999950571530368,tetap,,1436675.98696,Pekalipan,Pulasaren,Hak Milik,01827,3.39354366383,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,6776,11.999950571530368,Sama,2.0,1.835479,1005.73520259,2061.21580356,2491.93543366,444.465409306,2216.61206849,15.9801463973,15.9801463928,1436675.98696,15.7982042193,15.798204219326,11.999950571530368,,
30,"(96936.11830676295, 756338.8934634834)",187,30,1382.1964488254644,tetap,,1644007.0622,Pekalipan,Pulasaren,Hak Milik,00187,4.18295692701,Normal,3.0,Perumahan Sederhana,2.0,Lokal Setapak,1.0,7037,1382.1964488254644,Sama,2.0,1.835479,909.62705928,2149.30010199,2674.07547507,589.720449843,2317.48470178,188.022868569,188.022868562,1644007.0622,187.496863833,187.49686383336865,1382.1964488254644,,
